Ladetype;Anzahl_Ladesaeulen_rel;Ladequote
NCS;0.01;0.024979702300405943
NCS;0.02;0.049959404600811885
NCS;0.03;0.07378619756427601
NCS;0.04;0.0960757780784844
NCS;0.05;0.11649188092016234
NCS;0.06;0.13706811005863773
NCS;0.07;0.15602706359945867
NCS;0.08;0.16781235904375275
NCS;0.09;0.1822483605704173
NCS;0.1;0.19087054578258902
NCS;0.11;0.20476150202976987
NCS;0.12;0.21392873252142536
NCS;0.13;0.22744676305106468
NCS;0.14;0.240765899864682
NCS;0.15;0.2502337310862345
NCS;0.16;0.2633311760898982
NCS;0.17;0.2730857916102842
NCS;0.18;0.28601020089518053
NCS;0.19;0.29883125344559713
NCS;0.2;0.30876767299706037
NCS;0.21;0.3214695534506089
NCS;0.22;0.33158152909336935
NCS;0.23;0.3441841964981342
NCS;0.24;0.3544372704426831
NCS;0.25;0.3669560968275447
NCS;0.26;0.37942142413049046
NCS;0.27;0.38977204121994374
NCS;0.28;0.4021732070365358
NCS;0.29;0.41262259166183385
NCS;0.3;0.4249677439657614
NCS;0.31;0.43417711622312427
NCS;0.32;0.445123257045361
NCS;0.33;0.45601243773932565
NCS;0.34;0.4639871862141339
NCS;0.35;0.4748064952638701
NCS;0.36;0.4828916415113979
NCS;0.37;0.4936482242704317
NCS;0.38;0.5043622512905328
NCS;0.39;0.5125299632708293
NCS;0.4;0.523191605536168
NCS;0.41;0.5314456090456641
NCS;0.42;0.5420595399188093
NCS;0.43;0.5503902396438081
NCS;0.44;0.5609605429903128
NCS;0.45;0.5715007611637347
NCS;0.46;0.5798901053840161
NCS;0.47;0.5903928261264718
NCS;0.48;0.598844501970936
NCS;0.49;0.6093125845737484
NCS;0.5;0.6197564276048715
NCS;0.51;0.628256622240347
NCS;0.52;0.6386702263833522
NCS;0.53;0.6472220639555588
NCS;0.54;0.6576075075127849
NCS;0.55;0.6662064712834656
NCS;0.56;0.6765656292286875
NCS;0.57;0.6869062296396532
NCS;0.58;0.6955423317084305
NCS;0.59;0.7058595914685225
NCS;0.6;0.7145356704534727
NCS;0.61;0.7248310080413108
NCS;0.62;0.7335439631448509
NCS;0.63;0.7438186738836264
NCS;0.64;0.7540787223601837
NCS;0.65;0.7628210164855151
NCS;0.66;0.7730625053983244
NCS;0.67;0.7818366599007669
NCS;0.68;0.7920606001422932
NCS;0.69;0.8022719615586423
NCS;0.7;0.8110717185385656
NCS;0.71;0.821267165958815
NCS;0.72;0.8300947225981055
NCS;0.73;0.8402750598521911
NCS;0.74;0.8491286031608242
NCS;0.75;0.8592945758982208
NCS;0.76;0.8694502079887736
NCS;0.77;0.8783247631935048
NCS;0.78;0.8884672493874118
NCS;0.79;0.8946780509418373
NCS;0.8;0.9034494219310116
NCS;0.81;0.9097051000886566
NCS;0.82;0.9171048887963638
NCS;0.83;0.9244769615375794
NCS;0.84;0.9280920162381596
NCS;0.85;0.9354287120186985
NCS;0.86;0.9391055810422787
NCS;0.87;0.9464083984460256
NCS;0.88;0.9536866035182678
NCS;0.89;0.9574140411068373
NCS;0.9;0.9646608592692829
NCS;0.91;0.9670987821380244
NCS;0.92;0.9729616048094704
NCS;0.93;0.9741217048032803
NCS;0.94;0.9799442570638014
NCS;0.95;0.9857374830852503
NCS;0.96;0.9869577155951521
NCS;0.97;0.9927134200152967
NCS;0.98;0.9913098782138025
NCS;0.99;0.9956721273716639
NCS;1.0;1.0
HPC;0.01;0.03756476683937821
HPC;0.02;0.07512953367875642
HPC;0.03;0.11269430051813463
HPC;0.04;0.13523316062176166
HPC;0.05;0.16904145077720206
HPC;0.06;0.20284974093264246
HPC;0.07;0.22204951065054696
HPC;0.08;0.2537708693149108
HPC;0.09;0.28549222797927465
HPC;0.1;0.3172135866436385
HPC;0.11;0.32506044905008635
HPC;0.12;0.35461139896373056
HPC;0.13;0.38416234887737477
HPC;0.14;0.38706735751295335
HPC;0.15;0.41471502590673565
HPC;0.16;0.442362694300518
HPC;0.17;0.4700103626943004
HPC;0.18;0.47031088082901557
HPC;0.19;0.4964392630972942
HPC;0.2;0.5225676453655729
HPC;0.21;0.5198963730569948
HPC;0.22;0.544653343202566
HPC;0.23;0.5694103133481372
HPC;0.24;0.5941672834937083
HPC;0.25;0.5853842832469776
HPC;0.26;0.6087996545768567
HPC;0.27;0.6322150259067358
HPC;0.28;0.6217386298215314
HPC;0.29;0.643943580886586
HPC;0.3;0.6661485319516407
HPC;0.31;0.6883534830166954
HPC;0.32;0.6747633851468048
HPC;0.33;0.6958497409326424
HPC;0.34;0.7169360967184801
HPC;0.35;0.7028026377767311
HPC;0.36;0.7228827131417805
HPC;0.37;0.74296278850683
HPC;0.38;0.7264191134139321
HPC;0.39;0.7455354058721934
HPC;0.4;0.7646516983304549
HPC;0.41;0.7837679907887161
HPC;0.42;0.7686329214826624
HPC;0.43;0.7869337053274877
HPC;0.44;0.805234489172313
HPC;0.45;0.788860103626943
HPC;0.46;0.8063903281519862
HPC;0.47;0.8239205526770292
HPC;0.48;0.8414507772020725
HPC;0.49;0.826257915947035
HPC;0.5;0.8431203223949336
HPC;0.51;0.8599827288428324
HPC;0.52;0.8432037996545768
HPC;0.53;0.8594192573402418
HPC;0.54;0.8756347150259068
HPC;0.55;0.8918501727115717
HPC;0.56;0.8727989434115615
HPC;0.57;0.888384638829625
HPC;0.58;0.9039703342476886
HPC;0.59;0.8848867779696796
HPC;0.6;0.8998848589522165
HPC;0.61;0.9148829399347536
HPC;0.62;0.9298810209172904
HPC;0.63;0.9100954458685575
HPC;0.64;0.9245414053267886
HPC;0.65;0.9389873647850197
HPC;0.66;0.9173316062176166
HPC;0.67;0.9312305699481865
HPC;0.68;0.9451295336787564
HPC;0.69;0.9232346410066616
HPC;0.7;0.936614853195164
HPC;0.71;0.9499950653836663
HPC;0.72;0.9633752775721687
HPC;0.73;0.9406672947087455
HPC;0.74;0.9535531480609202
HPC;0.75;0.9664390014130948
HPC;0.76;0.9433656228880379
HPC;0.77;0.9557783284523542
HPC;0.78;0.9681910340166705
HPC;0.79;0.9806037395809868
HPC;0.8;0.954979850316638
HPC;0.81;0.9669170984455959
HPC;0.82;0.9788543465745537
HPC;0.83;0.9544856649395509
HPC;0.84;0.9659854922279792
HPC;0.85;0.9774853195164075
HPC;0.86;0.9889851468048358
HPC;0.87;0.965356715823037
HPC;0.88;0.9764527700278994
HPC;0.89;0.9875488242327619
HPC;0.9;0.9633275762809442
HPC;0.91;0.9740312160173993
HPC;0.92;0.9847348557538541
HPC;0.93;0.995438495490309
HPC;0.94;0.9718899580557611
HPC;0.95;0.9822292129286948
HPC;0.96;0.9925684678016284
HPC;0.97;0.97
HPC;0.98;0.98
HPC;0.99;0.99
HPC;1.0;1.0
MCS;0.01;0.02968984962406015
MCS;0.02;0.0593796992481203
MCS;0.03;0.08906954887218045
MCS;0.04;0.11063909774436087
MCS;0.05;0.1382988721804511
MCS;0.06;0.1659586466165413
MCS;0.07;0.19361842105263155
MCS;0.08;0.20909774436090223
MCS;0.09;0.235234962406015
MCS;0.1;0.2613721804511278
MCS;0.11;0.2875093984962406
MCS;0.12;0.298421052631579
MCS;0.13;0.3232894736842105
MCS;0.14;0.34815789473684217
MCS;0.15;0.358562030075188
MCS;0.16;0.3824661654135339
MCS;0.17;0.40637030075187974
MCS;0.18;0.43027443609022553
MCS;0.19;0.43633928571428576
MCS;0.2;0.45930451127819555
MCS;0.21;0.4822697368421053
MCS;0.22;0.5052349624060151
MCS;0.23;0.5086063372717509
MCS;0.24;0.5307196562835661
MCS;0.25;0.5528329752953813
MCS;0.26;0.5517363721804512
MCS;0.27;0.5729570018796993
MCS;0.28;0.5941776315789475
MCS;0.29;0.6153982612781955
MCS;0.3;0.6098684210526316
MCS;0.31;0.6301973684210527
MCS;0.32;0.6505263157894738
MCS;0.33;0.6708552631578949
MCS;0.34;0.6652048872180453
MCS;0.35;0.6847697368421052
MCS;0.36;0.7043345864661654
MCS;0.37;0.7238994360902256
MCS;0.38;0.7153246753246753
MCS;0.39;0.734149008885851
MCS;0.4;0.7529733424470267
MCS;0.41;0.7421616541353383
MCS;0.42;0.7602631578947369
MCS;0.43;0.7783646616541354
MCS;0.44;0.7964661654135339
MCS;0.45;0.7835309427414692
MCS;0.46;0.8009427414690574
MCS;0.47;0.8183545401966454
MCS;0.48;0.8357663389242337
MCS;0.49;0.8224342105263158
MCS;0.5;0.83921858216971
MCS;0.51;0.8560029538131042
MCS;0.52;0.8401127819548873
MCS;0.53;0.8562687969924813
MCS;0.54;0.8724248120300753
MCS;0.55;0.8885808270676692
MCS;0.56;0.8703947368421053
MCS;0.57;0.8859374999999998
MCS;0.58;0.9014802631578946
MCS;0.59;0.9170230263157894
MCS;0.6;0.893830163644405
MCS;0.61;0.9087273330384784
MCS;0.62;0.9236245024325518
MCS;0.63;0.9005921052631579
MCS;0.64;0.9148872180451127
MCS;0.65;0.9291823308270677
MCS;0.66;0.9434774436090226
MCS;0.67;0.9198911753066878
MCS;0.68;0.933620894341116
MCS;0.69;0.947350613375544
MCS;0.7;0.9610803324099721
MCS;0.71;0.9359788533834587
MCS;0.72;0.9491616541353383
MCS;0.73;0.9623444548872181
MCS;0.74;0.9755272556390977
MCS;0.75;0.9479726100966702
MCS;0.76;0.960612244897959
MCS;0.77;0.9732518796992481
MCS;0.78;0.9455767259056733
MCS;0.79;0.9576995044429255
MCS;0.8;0.9698222829801778
MCS;0.81;0.98194506151743
MCS;0.82;0.9553710362863681
MCS;0.83;0.9670219025825433
MCS;0.84;0.9786727688787186
MCS;0.85;0.9903236351748939
MCS;0.86;0.9638627819548872
MCS;0.87;0.9750704887218045
MCS;0.88;0.9862781954887219
MCS;0.89;0.9593932330827067
MCS;0.9;0.970172932330827
MCS;0.91;0.9809526315789473
MCS;0.92;0.9917323308270677
MCS;0.93;0.9648615529207636
MCS;0.94;0.9752364083285138
MCS;0.95;0.985611263736264
MCS;0.96;0.995986119144014
MCS;0.97;0.97
MCS;0.98;0.98
MCS;0.99;0.99
MCS;1.0;1.0
